"Clip_Number","Clip_Path","Location","Group_Name","Group_ID","Long_Path"
19,"label_groups/sc/19_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/19_sc_D1.WAV"
20,"label_groups/mm/20_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/20_mm_D1.WAV"
21,"label_groups/background/21_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/21_bird_D1.WAV"
22,"label_groups/background/22_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/22_bird_D1.WAV"
23,"label_groups/sc/23_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/23_sc_D1.WAV"
24,"label_groups/mm/24_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/24_mm_D1.WAV"
25,"label_groups/sc/25_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/25_sc_D1.WAV"
26,"label_groups/sc/26_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/26_sc_D1.WAV"
27,"label_groups/mm/27_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/27_mm_D1.WAV"
28,"label_groups/background/28_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/28_bird_D1.WAV"
29,"label_groups/background/29_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/29_bird_D1.WAV"
30,"label_groups/background/30_bird_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/30_bird_D1.WAV"
31,"label_groups/sc/31_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/31_sc_D1.WAV"
32,"label_groups/sc/32_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/32_sc_D1.WAV"
33,"label_groups/mm/33_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/33_mm_D1.WAV"
34,"label_groups/sc/34_sc_D1.WAV","D1","gc",1,"./Audio_Label_194/label_groups/sc/34_sc_D1.WAV"
35,"label_groups/sc/35_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/35_sc_D1.WAV"
36,"label_groups/sc/36_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/36_sc_D1.WAV"
37,"label_groups/sc/37_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/37_sc_D1.WAV"
38,"label_groups/sc/38_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/38_sc_D1.WAV"
39,"label_groups/sc/39_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/39_sc_D1.WAV"
40,"label_groups/mm/40_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/40_mm_D1.WAV"
41,"label_groups/sc/41_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/41_sc_D1.WAV"
42,"label_groups/sc/42_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/42_sc_D1.WAV"
43,"label_groups/sc/43_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/43_sc_D1.WAV"
44,"label_groups/mm/44_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/44_mm_D1.WAV"
45,"label_groups/sc/45_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/45_sc_D1.WAV"
46,"label_groups/mm/46_mm_D1.WAV","D1","mm",2,"./Audio_Label_194/label_groups/mm/46_mm_D1.WAV"
47,"label_groups/sc/47_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/47_sc_D1.WAV"
48,"label_groups/sc/48_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/48_sc_D1.WAV"
49,"label_groups/sc/49_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/49_sc_D1.WAV"
50,"label_groups/sc/50_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/50_sc_D1.WAV"
51,"label_groups/gc/51_gc_D1.WAV","D1","gc",1,"./Audio_Label_194/label_groups/gc/51_gc_D1.WAV"
52,"label_groups/sc/52_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/52_sc_D1.WAV"
53,"label_groups/sc/53_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/53_sc_D1.WAV"
54,"label_groups/sc/54_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/54_sc_D1.WAV"
55,"label_groups/sc/55_sc_D1.WAV","D1","sc",3,"./Audio_Label_194/label_groups/sc/55_sc_D1.WAV"
56,"label_groups/background/56_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/56_insect_D1.WAV"
57,"label_groups/background/57_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/57_insect_D1.WAV"
58,"label_groups/background/58_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/58_insect_D1.WAV"
59,"label_groups/background/59_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/59_insect_D1.WAV"
60,"label_groups/background/60_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/60_insect_D1.WAV"
61,"label_groups/background/61_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/61_insect_D1.WAV"
62,"label_groups/background/62_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/62_insect_D1.WAV"
63,"label_groups/background/63_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/63_insect_D1.WAV"
64,"label_groups/background/64_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/64_insect_D1.WAV"
65,"label_groups/background/65_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/65_insect_D1.WAV"
66,"label_groups/background/66_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/66_insect_D1.WAV"
67,"label_groups/background/67_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/67_insect_D1.WAV"
68,"label_groups/background/68_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/68_insect_D1.WAV"
69,"label_groups/background/69_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/69_insect_D1.WAV"
70,"label_groups/background/70_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/70_insect_D1.WAV"
71,"label_groups/background/71_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/71_insect_D1.WAV"
72,"label_groups/background/72_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/72_insect_D1.WAV"
73,"label_groups/background/73_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/73_insect_D1.WAV"
74,"label_groups/background/74_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/74_insect_D1.WAV"
75,"label_groups/background/75_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/75_insect_D1.WAV"
76,"label_groups/background/76_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/76_insect_D1.WAV"
77,"label_groups/background/77_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/77_insect_D1.WAV"
78,"label_groups/background/78_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/78_insect_D1.WAV"
79,"label_groups/background/79_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/79_insect_D1.WAV"
80,"label_groups/background/80_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/80_insect_D1.WAV"
81,"label_groups/background/81_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/81_insect_D1.WAV"
82,"label_groups/background/82_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/82_insect_D1.WAV"
83,"label_groups/background/83_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/83_insect_D1.WAV"
84,"label_groups/background/84_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/84_insect_D1.WAV"
85,"label_groups/background/85_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/85_insect_D1.WAV"
86,"label_groups/background/86_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/86_insect_D1.WAV"
87,"label_groups/background/87_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/87_insect_D1.WAV"
88,"label_groups/background/88_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/88_insect_D1.WAV"
89,"label_groups/background/89_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/89_insect_D1.WAV"
90,"label_groups/background/90_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/90_insect_D1.WAV"
91,"label_groups/background/91_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/91_insect_D1.WAV"
92,"label_groups/background/92_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/92_insect_D1.WAV"
93,"label_groups/background/93_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/93_insect_D1.WAV"
94,"label_groups/background/94_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/94_insect_D1.WAV"
95,"label_groups/background/95_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/95_insect_D1.WAV"
96,"label_groups/background/96_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/96_insect_D1.WAV"
97,"label_groups/background/97_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/97_insect_D1.WAV"
98,"label_groups/background/98_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/98_insect_D1.WAV"
99,"label_groups/background/99_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/99_insect_D1.WAV"
100,"label_groups/background/100_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/100_insect_D1.WAV"
101,"label_groups/background/101_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/101_insect_D1.WAV"
102,"label_groups/background/102_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/102_insect_D1.WAV"
103,"label_groups/background/103_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/103_insect_D1.WAV"
104,"label_groups/background/104_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/104_insect_D1.WAV"
105,"label_groups/background/105_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/105_insect_D1.WAV"
106,"label_groups/background/106_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/106_insect_D1.WAV"
107,"label_groups/background/107_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/107_insect_D1.WAV"
108,"label_groups/background/108_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/108_insect_D1.WAV"
109,"label_groups/background/109_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/109_insect_D1.WAV"
110,"label_groups/background/110_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/110_insect_D1.WAV"
111,"label_groups/background/111_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/111_insect_D1.WAV"
112,"label_groups/background/112_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/112_insect_D1.WAV"
113,"label_groups/background/113_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/113_insect_D1.WAV"
114,"label_groups/background/114_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/114_insect_D1.WAV"
115,"label_groups/background/115_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/115_insect_D1.WAV"
116,"label_groups/background/116_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/116_insect_D1.WAV"
117,"label_groups/background/117_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/117_insect_D1.WAV"
118,"label_groups/background/118_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/118_insect_D1.WAV"
119,"label_groups/background/119_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/119_insect_D1.WAV"
120,"label_groups/background/120_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/120_insect_D1.WAV"
121,"label_groups/background/121_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/121_insect_D1.WAV"
122,"label_groups/background/122_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/122_insect_D1.WAV"
123,"label_groups/background/123_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/123_insect_D1.WAV"
124,"label_groups/background/124_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/124_insect_D1.WAV"
125,"label_groups/background/125_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/125_insect_D1.WAV"
126,"label_groups/background/126_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/126_insect_D1.WAV"
127,"label_groups/background/127_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/127_insect_D1.WAV"
128,"label_groups/background/128_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/128_insect_D1.WAV"
129,"label_groups/background/129_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/129_insect_D1.WAV"
130,"label_groups/background/130_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/130_insect_D1.WAV"
131,"label_groups/background/131_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/131_insect_D1.WAV"
132,"label_groups/background/132_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/132_insect_D1.WAV"
133,"label_groups/background/133_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/133_insect_D1.WAV"
134,"label_groups/background/134_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/134_insect_D1.WAV"
135,"label_groups/background/135_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/135_insect_D1.WAV"
136,"label_groups/background/136_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/136_insect_D1.WAV"
137,"label_groups/background/137_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/137_insect_D1.WAV"
138,"label_groups/background/138_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/138_insect_D1.WAV"
139,"label_groups/background/139_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/139_insect_D1.WAV"
140,"label_groups/background/140_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/140_insect_D1.WAV"
141,"label_groups/background/141_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/141_insect_D1.WAV"
142,"label_groups/background/142_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/142_insect_D1.WAV"
143,"label_groups/background/143_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/143_insect_D1.WAV"
144,"label_groups/background/144_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/144_insect_D1.WAV"
145,"label_groups/background/145_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/145_insect_D1.WAV"
146,"label_groups/background/146_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/146_insect_D1.WAV"
147,"label_groups/background/147_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/147_insect_D1.WAV"
148,"label_groups/background/148_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/148_insect_D1.WAV"
149,"label_groups/background/149_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/149_insect_D1.WAV"
150,"label_groups/background/150_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/150_insect_D1.WAV"
151,"label_groups/background/151_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/151_insect_D1.WAV"
152,"label_groups/background/152_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/152_insect_D1.WAV"
153,"label_groups/background/153_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/153_insect_D1.WAV"
154,"label_groups/background/154_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/154_insect_D1.WAV"
155,"label_groups/background/155_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/155_insect_D1.WAV"
156,"label_groups/background/156_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/156_insect_D1.WAV"
157,"label_groups/background/157_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/157_insect_D1.WAV"
158,"label_groups/background/158_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/158_insect_D1.WAV"
159,"label_groups/background/159_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/159_insect_D1.WAV"
160,"label_groups/background/160_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/160_insect_D1.WAV"
161,"label_groups/background/161_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/161_insect_D1.WAV"
162,"label_groups/background/162_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/162_insect_D1.WAV"
163,"label_groups/background/163_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/163_insect_D1.WAV"
164,"label_groups/background/164_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/164_insect_D1.WAV"
165,"label_groups/background/165_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/165_insect_D1.WAV"
166,"label_groups/background/166_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/166_insect_D1.WAV"
167,"label_groups/background/167_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/167_insect_D1.WAV"
168,"label_groups/background/168_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/168_insect_D1.WAV"
169,"label_groups/background/169_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/169_insect_D1.WAV"
170,"label_groups/background/170_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/170_insect_D1.WAV"
171,"label_groups/background/171_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/171_insect_D1.WAV"
172,"label_groups/background/172_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/172_insect_D1.WAV"
173,"label_groups/background/173_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/173_insect_D1.WAV"
174,"label_groups/background/174_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/174_insect_D1.WAV"
175,"label_groups/background/175_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/175_insect_D1.WAV"
176,"label_groups/background/176_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/176_insect_D1.WAV"
177,"label_groups/background/177_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/177_insect_D1.WAV"
178,"label_groups/background/178_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/178_insect_D1.WAV"
179,"label_groups/background/179_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/179_insect_D1.WAV"
180,"label_groups/background/180_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/180_insect_D1.WAV"
181,"label_groups/background/181_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/181_insect_D1.WAV"
182,"label_groups/background/182_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/182_insect_D1.WAV"
183,"label_groups/background/183_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/183_insect_D1.WAV"
184,"label_groups/background/184_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/184_insect_D1.WAV"
185,"label_groups/background/185_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/185_insect_D1.WAV"
186,"label_groups/background/186_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/186_insect_D1.WAV"
187,"label_groups/background/187_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/187_insect_D1.WAV"
188,"label_groups/background/188_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/188_insect_D1.WAV"
189,"label_groups/background/189_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/189_insect_D1.WAV"
190,"label_groups/background/190_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/190_insect_D1.WAV"
191,"label_groups/background/191_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/191_insect_D1.WAV"
192,"label_groups/background/192_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/192_insect_D1.WAV"
193,"label_groups/background/193_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/193_insect_D1.WAV"
194,"label_groups/background/194_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/194_insect_D1.WAV"
195,"label_groups/background/195_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/195_insect_D1.WAV"
196,"label_groups/background/196_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/196_insect_D1.WAV"
197,"label_groups/background/197_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/197_insect_D1.WAV"
198,"label_groups/background/198_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/198_insect_D1.WAV"
199,"label_groups/background/199_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/199_insect_D1.WAV"
200,"label_groups/background/200_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/200_insect_D1.WAV"
201,"label_groups/background/201_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/201_insect_D1.WAV"
202,"label_groups/background/202_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/202_insect_D1.WAV"
203,"label_groups/background/203_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/203_insect_D1.WAV"
204,"label_groups/background/204_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/204_insect_D1.WAV"
205,"label_groups/background/205_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/205_insect_D1.WAV"
206,"label_groups/background/206_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/206_insect_D1.WAV"
207,"label_groups/background/207_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/207_insect_D1.WAV"
208,"label_groups/background/208_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/208_insect_D1.WAV"
209,"label_groups/background/209_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/209_insect_D1.WAV"
210,"label_groups/background/210_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/210_insect_D1.WAV"
211,"label_groups/background/211_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/211_insect_D1.WAV"
212,"label_groups/background/212_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/212_insect_D1.WAV"
213,"label_groups/background/213_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/213_insect_D1.WAV"
214,"label_groups/background/214_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/214_insect_D1.WAV"
215,"label_groups/background/215_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/215_insect_D1.WAV"
216,"label_groups/background/216_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/216_insect_D1.WAV"
217,"label_groups/background/217_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/217_insect_D1.WAV"
218,"label_groups/background/218_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/218_insect_D1.WAV"
219,"label_groups/background/219_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/219_insect_D1.WAV"
220,"label_groups/background/220_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/220_insect_D1.WAV"
221,"label_groups/background/221_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/221_insect_D1.WAV"
222,"label_groups/background/222_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/222_insect_D1.WAV"
223,"label_groups/background/223_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/223_insect_D1.WAV"
224,"label_groups/background/224_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/224_insect_D1.WAV"
225,"label_groups/background/225_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/225_insect_D1.WAV"
226,"label_groups/background/226_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/226_insect_D1.WAV"
227,"label_groups/background/227_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/227_insect_D1.WAV"
228,"label_groups/background/228_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/228_insect_D1.WAV"
229,"label_groups/background/229_insect_D1.WAV","D1","background",0,"./Audio_Label_194/label_groups/background/229_insect_D1.WAV"
